frame,x,y
200,123,480
201,122,481
202,121,482
203,120,482
204,119,482
205,118,483
206,117,484
207,116,485
208,116,486
209,115,487
210,115,488
211,114,489
212,114,489
213,113,489
214,113,490
215,113,490
216,113,490
217,112,491
218,112,491
219,111,492
220,111,492
221,110,492
222,110,493
223,109,493
224,109,494
225,107,495
226,107,495
227,106,495
228,106,496
229,105,496
230,104,497
231,103,497
232,102,499
233,101,499
234,101,500
235,99,500
236,99,500
237,98,500
238,98,500
239,97,500
240,97,500
241,96,501
242,95,501
243,95,501
244,94,502
245,93,502
246,93,502
247,93,502
248,92,502
249,92,503
250,92,503
251,91,502
252,91,503
253,90,503
254,89,503
255,89,503
256,89,502
257,89,502
258,88,502
259,87,502
260,87,502
261,86,502
262,87,502
263,87,502
264,85,503
265,85,502
266,88,501
267,87,501
268,87,501
269,83,501
270,86,500
271,86,501
272,84,501
273,84,501
274,84,501
275,83,501
276,83,501
277,82,501
278,82,501
279,81,502
280,81,502
281,81,502
282,81,502
283,80,502
284,80,503
285,79,503
286,79,503
287,80,502
288,78,503
289,79,503
290,79,503
291,78,504
292,79,504
293,79,504
294,79,504
295,79,504
296,79,505
297,80,505
298,79,505
299,80,505
300,79,506
301,79,505
302,78,506
303,79,506
304,78,506
305,79,506
306,78,507
307,78,507
308,78,507
309,79,507
310,79,507
311,78,507
312,79,508
313,78,508
314,79,508
315,79,508
316,79,508
317,78,508
318,78,508
319,78,508
320,78,508
321,78,508
322,78,508
323,78,508
324,78,508
325,78,508
326,78,508
327,78,508
328,79,508
329,79,508
330,79,508
331,79,508
332,80,508
333,79,508
334,79,510
335,79,510
336,79,511
337,79,510
338,80,510
339,80,510
340,80,510
341,80,510
342,80,510
343,80,510
344,80,510
345,80,510
346,81,509
347,80,510
348,80,510
349,80,510
350,80,510
351,80,511
352,80,511
353,80,511
354,80,511
355,80,512
356,80,512
357,80,512
358,79,514
359,79,514
360,78,515
361,78,515
362,78,516
363,78,516
364,78,517
365,78,517
366,78,517
367,78,517
368,78,517
369,78,517
370,78,517
371,77,518
372,77,518
373,77,518
374,77,518
375,77,518
376,77,519
377,77,519
378,77,519
379,77,519
380,77,519
381,75,519
382,75,519
383,74,520
384,74,520
385,75,517
386,74,521
387,75,517
388,75,517
389,75,518
390,75,518
391,75,518
392,75,518
393,75,518
394,75,518
395,75,518
396,75,519
397,74,519
398,74,520
399,74,520
400,74,520
401,74,520
402,74,520
403,74,520
404,73,521
405,73,521
406,73,521
407,73,522
408,73,522
409,73,522
410,73,523
411,72,523
412,72,523
413,72,524
414,72,524
415,72,525
416,72,525
417,72,525
418,72,526
419,72,526
420,72,527
421,71,527
422,71,528
423,71,528
424,71,528
425,70,530
426,70,531
427,70,530
428,70,530
429,69,530
430,69,531
431,69,532
432,69,532
433,68,533
434,68,533
435,68,534
436,67,534
437,66,535
438,66,535
439,66,536
440,65,536
441,65,537
442,65,537
443,64,538
444,64,538
445,64,538
446,64,539
447,64,539
448,63,540
449,63,540
450,63,541
451,63,541
452,63,541
453,63,541
454,63,541
455,63,541
456,63,541
457,63,541
458,63,541
459,63,541
460,63,541
461,63,541
462,63,541
463,62,541
464,62,541
465,62,541
466,62,541
467,62,541
468,62,542
469,62,542
470,62,542
471,62,542
472,62,542
473,62,542
474,62,542
475,62,542
476,62,541
477,62,542
478,62,541
479,62,541
480,62,541
481,62,541
482,62,541
483,62,541
484,62,541
485,62,541
486,62,541
487,62,541
488,62,541
489,62,541
490,62,541
491,62,541
492,62,541
493,61,542
494,61,542
495,61,542
496,61,543
497,61,543
498,61,543
499,61,544
500,61,544
501,60,544
502,60,545
503,60,545
504,60,545
505,59,546
506,59,547
507,59,547
508,58,548
509,58,548
510,58,548
511,58,549
512,58,549
513,57,550
514,57,550
515,57,550
516,57,550
517,57,551
518,57,552
519,56,552
520,56,553
521,56,554
522,55,555
523,56,555
524,55,555
525,55,556
526,55,557
527,54,557
528,54,558
529,54,559
530,54,559
531,53,560
